,jobid,electron_threshold,electron_softmax,primary_softmax,vertex_threshold,muon_threshold,signal_count,background_count,signal_count_all,purity,efficiency,f1_score,sensitivity
158,158,400.0,0.6,,5.0,100.0,226,50,317,0.8188405797101449,0.7129337539432177,0.7622259696458683,13.60360139869192
159,159,500.0,0.9,0.9,3.0,25.0,147,29,274,0.8352272727272727,0.5364963503649635,0.6533333333333332,11.080541913232814
160,160,250.0,0.9,0.95,2.0,0.0,185,29,366,0.8644859813084113,0.505464480874317,0.6379310344827586,12.64633964995627
161,161,225.0,,0.95,4.0,25.0,275,70,379,0.7971014492753623,0.7255936675461742,0.7596685082872927,14.805502306599552
162,162,350.0,0.6,0.9,5.0,0.0,240,53,331,0.8191126279863481,0.7250755287009063,0.7692307692307693,14.020949708087663
163,163,250.0,0.7,,5.0,100.0,258,63,366,0.8037383177570093,0.7049180327868853,0.7510917030567685,14.400155762397448
164,164,200.0,,0.95,2.0,10.0,262,58,386,0.81875,0.6787564766839378,0.7422096317280454,14.646245252623622
165,165,0.0,0.8,0.8,3.5,50.0,272,86,409,0.7597765363128491,0.6650366748166259,0.709256844850065,14.375646694221967
166,166,0.0,0.7,0.9,3.5,100.0,291,94,409,0.7558441558441559,0.7114914425427873,0.7329974811083124,14.830733270834903
167,167,500.0,0.6,0.95,5.0,,205,46,274,0.8167330677290837,0.7481751824817519,0.7809523809523811,12.939485263504965
168,168,500.0,0.8,0.95,4.0,100.0,174,38,274,0.8207547169811321,0.635036496350365,0.7160493827160495,11.950369063535945
169,169,100.0,,0.9,3.0,,311,113,403,0.7334905660377359,0.771712158808933,0.7521160822249093,15.103495159655457
170,170,0.0,0.7,0.95,2.0,0.0,263,70,409,0.7897897897897898,0.6430317848410758,0.7088948787061995,14.412311220436322
171,171,250.0,0.6,0.95,4.0,10.0,262,60,366,0.8136645962732919,0.7158469945355191,0.7616279069767441,14.600689169474244
172,172,200.0,0.7,0.9,3.0,50.0,267,54,386,0.8317757009345794,0.6917098445595855,0.7553041018387554,14.9024867773648
173,173,225.0,0.8,0.95,3.0,100.0,240,44,379,0.8450704225352113,0.633245382585752,0.7239819004524887,14.241379898326239
174,174,100.0,0.7,0.99,,100.0,299,91,403,0.7666666666666667,0.7419354838709677,0.7540983606557377,15.140453537900816
175,175,300.0,0.6,0.99,5.0,100.0,253,52,351,0.8295081967213115,0.7207977207977208,0.7713414634146343,14.486737858140867
176,176,100.0,0.7,0.99,2.0,50.0,250,49,403,0.8361204013377926,0.6203473945409429,0.7122507122507122,14.457873299156006
177,177,400.0,0.7,0.99,5.0,,214,49,317,0.8136882129277566,0.6750788643533123,0.7379310344827587,13.195805301933637
178,178,500.0,0.7,,2.0,,177,33,274,0.8428571428571429,0.6459854014598541,0.731404958677686,12.21416040035967
179,179,350.0,0.7,0.8,3.5,25.0,225,45,331,0.8333333333333334,0.6797583081570997,0.7487520798668885,13.693063937629153
180,180,400.0,,,,25.0,251,86,317,0.744807121661721,0.7917981072555205,0.7675840978593271,13.672841238641366
